State,Year,Quarter,District,RegisteredUser,AppOpens
Andhra Pradesh,2021,Q2 (Apr - Jun),vizianagaram district,729509,42684475
Andhra Pradesh,2021,Q2 (Apr - Jun),ysr district,1103004,72255265
Andhra Pradesh,2021,Q2 (Apr - Jun),west godavari district,1339377,65118788
Andhra Pradesh,2021,Q2 (Apr - Jun),chittoor district,1870723,110505432
Andhra Pradesh,2021,Q3 (Jul - Sep),east godavari district,2150622,103626560
Andhra Pradesh,2021,Q3 (Jul - Sep),srikakulam district,902008,48622126
Andhra Pradesh,2021,Q3 (Jul - Sep),visakhapatnam district,2707931,139540800
Andhra Pradesh,2021,Q3 (Jul - Sep),prakasam district,1239147,91533813
Andhra Pradesh,2021,Q3 (Jul - Sep),anantapur district,1606735,124985545
Andhra Pradesh,2021,Q3 (Jul - Sep),kurnool district,1522196,101210508
Andhra Pradesh,2021,Q3 (Jul - Sep),guntur district,2110878,106621413
Andhra Pradesh,2021,Q3 (Jul - Sep),krishna district,2145423,104358295
Andhra Pradesh,2021,Q3 (Jul - Sep),spsr nellore district,1263550,90102349
Andhra Pradesh,2021,Q3 (Jul - Sep),vizianagaram district,784444,46277311
Andhra Pradesh,2021,Q3 (Jul - Sep),ysr district,1183377,86369956
Andhra Pradesh,2021,Q3 (Jul - Sep),west godavari district,1436576,80244808
Andhra Pradesh,2021,Q3 (Jul - Sep),chittoor district,2007011,135043395
Andhra Pradesh,2021,Q4 (Oct - Dec),east godavari district,2294347,142536856
Andhra Pradesh,2021,Q4 (Oct - Dec),srikakulam district,965335,61654215
Andhra Pradesh,2021,Q4 (Oct - Dec),visakhapatnam district,2888774,188757640
Andhra Pradesh,2021,Q4 (Oct - Dec),prakasam district,1325728,86410317
Andhra Pradesh,2021,Q4 (Oct - Dec),anantapur district,1719437,120768682
Andhra Pradesh,2021,Q4 (Oct - Dec),kurnool district,1628242,97379271
Andhra Pradesh,2021,Q4 (Oct - Dec),guntur district,2252443,130920743
Andhra Pradesh,2021,Q4 (Oct - Dec),krishna district,2288148,134436469
Andhra Pradesh,2021,Q4 (Oct - Dec),spsr nellore district,1349290,90814672
Andhra Pradesh,2021,Q4 (Oct - Dec),vizianagaram district,839606,56101822
Andhra Pradesh,2021,Q4 (Oct - Dec),ysr district,1262963,83534122
Andhra Pradesh,2021,Q4 (Oct - Dec),west godavari district,1532898,100007280
Andhra Pradesh,2021,Q4 (Oct - Dec),chittoor district,2141818,154395512
