State,Year,Quarter,Brands,Count,Percentage
Bihar,2018,Q4 (Oct - Dec),Apple,52872,0.01106881056134353
Bihar,2018,Q4 (Oct - Dec),Others,509951,0.10675879510076591
Bihar,2019,Q4 (Oct - Dec),Xiaomi,2484241,0.29778942767883193
Bihar,2019,Q4 (Oct - Dec),Samsung,1714305,0.20549612731492636
Bihar,2019,Q4 (Oct - Dec),Vivo,1129443,0.13538790502445736
Bihar,2019,Q4 (Oct - Dec),Oppo,977488,0.11717284759527198
Bihar,2019,Q4 (Oct - Dec),Realme,664779,0.07968798435534484
Bihar,2019,Q4 (Oct - Dec),Motorola,159553,0.01912584026849274
Bihar,2019,Q4 (Oct - Dec),Huawei,144428,0.01731278545873703
Bihar,2019,Q4 (Oct - Dec),Lenovo,121418,0.014554544720060741
Bihar,2019,Q4 (Oct - Dec),Micromax,81810,0.009806678610652203
Bihar,2019,Q4 (Oct - Dec),Infinix,79605,0.009542362190453107
Bihar,2019,Q4 (Oct - Dec),Others,785204,0.0941234967827717
Bihar,2020,Q4 (Oct - Dec),Xiaomi,3761975,0.2918559922382237
Bihar,2020,Q4 (Oct - Dec),Samsung,2566835,0.19913640463767063
Bihar,2020,Q4 (Oct - Dec),Vivo,1900128,0.1474129261410912
Bihar,2020,Q4 (Oct - Dec),Oppo,1561641,0.12115292727221524
Bihar,2020,Q4 (Oct - Dec),Realme,1195635,0.09275798995999406
Bihar,2020,Q4 (Oct - Dec),Huawei,209280,0.01623605208849486
Bihar,2020,Q4 (Oct - Dec),Motorola,206587,0.016027127737031195
Bihar,2020,Q4 (Oct - Dec),Lenovo,158922,0.012329252054700786
Bihar,2020,Q4 (Oct - Dec),Infinix,151393,0.011745148288577516
Bihar,2020,Q4 (Oct - Dec),HMD Global,105494,0.00818427981184861
Bihar,2020,Q4 (Oct - Dec),Others,1071943,0.08316189977015218
Bihar,2021,Q4 (Oct - Dec),Xiaomi,4718889,0.27220201729570426
Bihar,2021,Q4 (Oct - Dec),Samsung,3142992,0.18129876815162638
Bihar,2021,Q4 (Oct - Dec),Vivo,2818559,0.16258433831924482
Bihar,2021,Q4 (Oct - Dec),Oppo,2164915,0.12487986690802211
Bihar,2021,Q4 (Oct - Dec),Realme,2149920,0.12401490287743162
Bihar,2021,Q4 (Oct - Dec),Infinix,342716,0.019769057199589685
Bihar,2021,Q4 (Oct - Dec),Tecno,233246,0.013454444833551675
Bihar,2021,Q4 (Oct - Dec),Motorola,220257,0.012705193897016846
Bihar,2021,Q4 (Oct - Dec),Huawei,214582,0.012377840054162497
Bihar,2021,Q4 (Oct - Dec),Apple,144021,0.008307634854929755
Bihar,2021,Q4 (Oct - Dec),Others,1185884,0.06840593560872038
Chandigarh,2018,Q4 (Oct - Dec),Xiaomi,43505,0.24475799872852988
Chandigarh,2018,Q4 (Oct - Dec),Samsung,35417,0.19925512104283055
Chandigarh,2018,Q4 (Oct - Dec),Vivo,23567,0.1325873291813645
Chandigarh,2018,Q4 (Oct - Dec),Oppo,18698,0.1051944617911976
Chandigarh,2018,Q4 (Oct - Dec),Apple,15191,0.08546417098460171
Chandigarh,2018,Q4 (Oct - Dec),OnePlus,6197,0.03486416085784851
Chandigarh,2018,Q4 (Oct - Dec),Realme,5731,0.03224245697536386
Chandigarh,2018,Q4 (Oct - Dec),Motorola,5354,0.030121464778589794
Chandigarh,2018,Q4 (Oct - Dec),Lenovo,3148,0.017710566141763293
Chandigarh,2018,Q4 (Oct - Dec),Huawei,2838,0.015966514202771356
Chandigarh,2018,Q4 (Oct - Dec),Others,18101,0.10183575531513893
Chandigarh,2019,Q4 (Oct - Dec),Xiaomi,69435,0.2397700196830001
Chandigarh,2019,Q4 (Oct - Dec),Samsung,57981,0.2002175489485134
Chandigarh,2019,Q4 (Oct - Dec),Vivo,44605,0.1540281087054111
Chandigarh,2019,Q4 (Oct - Dec),Oppo,34871,0.12041506958113195
Chandigarh,2019,Q4 (Oct - Dec),Apple,23651,0.08167063779826651
Chandigarh,2019,Q4 (Oct - Dec),Realme,9610,0.03318484754307815
Chandigarh,2019,Q4 (Oct - Dec),OnePlus,8750,0.03021513173797438
Chandigarh,2019,Q4 (Oct - Dec),Motorola,6953,0.024009806968472668
Chandigarh,2019,Q4 (Oct - Dec),Huawei,4559,0.015742946924962878
Chandigarh,2019,Q4 (Oct - Dec),Lenovo,3777,0.013042577437066197
Chandigarh,2019,Q4 (Oct - Dec),Others,25398,0.08770330467212266
